Redump Name,Domestic Title,Overseas Title,Product No.,Build Date,Hardware,Company,Disc Type,Version,I/O Devices,Region,Size
Lords of Thunder (USA),WINDS OF THUNDER,LORDS OF THUNDER,MK-4449,1995.MAR,SEGA GENESIS,(C)SEGA,GM,(unknown),J,U,8311968
Lunar - Eternal Blue (Japan),LUNAR2,LUNAR2,T-45074,1994.NOV,SEGA MEGA DRIVE,(C)T-45,GM,0,J,J,458849328
Lunar - Eternal Blue (Japan) (Rev A),LUNAR2,LUNAR2,T-45074,1994.DEC,SEGA MEGA DRIVE,(C)T-45,GM,1,J,J,458849328
Lunar - Eternal Blue (USA) (RE),LUNAR -ETERNAL BLUE-,LUNAR -ETERNAL BLUE-,T-127045,95.AUG,SEGA GENESIS,T-127 19,GM,0,J,U,469555632
Lunar - The Silver Star (Japan),ＬＵＮＡＲ,(unknown),T-45014,1992.JUN,SEGA MEGA DRIVE,(C)T-45,GM,0,JC,J,32989152
Lunar - The Silver Star (USA),LUNAR,LUNAR,T-127015,1993.SEP,SEGA GENESIS,(C)T-12,GM,0,J,U,12752544
Lunar - The Silver Star (USA) (RE),LUNAR,LUNAR,T-127015,1993.SEP,SEGA GENESIS,(C)T-12,GM,0,J,U,12752544
Mad Dog II - The Lost Gold (USA),MAD DOG II THE LOST GOLD,MAD DOG II THE LOST GOLD,T-111065,1995.MAR,SEGA GENESIS,(C)T-111,GM,0,JMG,U,263207616
Mad Dog McCree (USA),MAD DOG MCCREE,MAD DOG MCCREE,T-11105,1993.OCT,SEGA GENESIS,(C)T-111,GM,0,JMG,U,242677008
Mahou no Shoujo - Silky Lip (Japan),魔法の少女シルキーリップ,Magical princessSilky Lip,T-49024,1992.MAR,SEGA MEGA DRIVE,(C)T-49,GM,0,J,J,99339072
Make My Video - INXS (Europe),MAKE MY VIDEO -- INXS,MAKE MY VIDEO -- INXS,MK-4902,1993.AUG,SEGA MEGA DRIVE,(C)SEGA,GM,1,J,E,509570208
Make My Video - INXS (USA),MAKE MY VIDEO -- INXS,MAKE MY VIDEO -- INXS,MK-4902,1993.JAN,SEGA GENESIS,(C)SEGA,GM,0,J,U,504426384
Make My Video - Kris Kross (Europe),MAKE MY VIDEO -- KRIS KROSS,MAKE MY VIDEO -- KRIS KROSS,MK-4901,1993.JUN,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,384817776
Mansion of Hidden Souls (USA),MANSION OF HIDDEN SOULS,MANSION OF HIDDEN SOULS,T- 23015,1994.JAN,SEGA GENESIS,(C)T-23,GM,-,JM,U,605141376
Marko (USA) (Unl),SEGA CD SAMPLE APP. WRITTEN BY,SEGA CD SAMPLE APP. WRITTEN BY,MK-xxxx,1993.MAY,SEGA GENESIS,(C)SEGA,GM,0,J,U,16174704
"Marko's Magic Football (Europe) (En,Fr,De,Es)",MARKOS MAGIC FOOTBALL PUBLISHE,MARKOS MAGIC FOOTBALL PUBLISHE,T-88025,1995.JUN,SEGA MEGADRIVE,(C)T-88,GM,5,J,E,16162944
Mary Shelley's Frankenstein (USA),MARY SHELLEY`S FRANKENSTEIN,MARY SHELLEY`S FRANKENSTEIN,T-93155,1994.OCT,SEGA GENESIS,(C)T-93,GM,0,J,U,107023056
"Masked Rider, The - Kamen Rider ZO (USA)",KAMEN RIDER ZO,THE MASKED RIDER: KAMEN RIDER,MK-4444,1994.AUG,SEGA GENESIS,(C)SEGA,GM,0,J,U,441108192
Mega Schwarzschild (Japan),MEGA Schwarzschild,MEGA Schwarzschild,G-6020-,1993.JUN,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,12484416
MegaRace (USA),MEGARACE,MEGARACE,T-87025,1994.DEC,SEGA GENESIS,(C)T-87,GM,0,J,U,588409248
Mickey Mania - The Timeless Adventures of Mickey Mouse (USA),MICKEY MANIA,MICKEY MANIA,T-93265,1994.SEP,SEGA GENESIS,(C)T-93,GM,0,J,U,15676080
Mickey Mania (Europe),MICKEY MANIA,MICKEY MANIA,T-93305,1994.SEP,SEGA MEGA DRIVE,(C)T-93,GM,0,J,E,15676080
Microcosm (Europe),MICROCOSM,MICROCOSM,T-11301,1993.NOV,SEGA MEGA DRIVE,(C)T-113,GM,0,J,E,274203216
Microcosm (Europe) (Alt),MICROCOSM,MICROCOSM,T-11301,1993.NOV,SEGA MEGA DRIVE,(C)T-113,GM,0,J,E,274203216
Microcosm (Japan),MICROCOSM,MICROCOSM,T-60164,1994.FEB,SEGA MEGA DRIVE,(C)T-60,GM,0,J,J,274203216
Microcosm (USA),MICROCOSM,MICROCOSM,T-11301,1993.DEC,SEGA GENESIS,(C)T-113,GM,0,J,U,274203216
Midnight Raiders (Europe),MIDNIGHT RAIDERS,MIDNIGHT RAIDERS,MK-4439,1995.APR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,499454256
